model_name,price
"Lenovo IdeaPad Slim 3 Series 15IAH8 (Intel Core i5 12th Gen 15.6 Inch)","₹37999"
"Lenovo Thinkpad L Series L14 Gen 1 Touch Screen (Intel Core i5 10th Gen 14 Inch)","₹24999"
"Lenovo Thinkpad E Series E480 (Intel Core i5 8th Gen 14 Inch)","₹18999"
"Lenovo Thinkpad T Series T490 (Touch Screen) (Intel Core i5 8th Gen 14 Inch)","₹19999"
"Lenovo Thinkpad X Series X390 (Intel Core i5 8th Gen 13 Inch)","₹19999"
"Lenovo IdeaPad Slim 3 Series 14IAH8 (Intel Core i5 12th Gen 14 Inch)","₹35999"
"Lenovo Thinkpad T Series T14 GEN 2i TOUCH SCREEN (Intel Core i5 11th Gen 14 Inch)","₹32999"
"Lenovo Thinkpad E Series E14 Gen 5 (AMD Ryzen5 7000U Series 14 Inch)","₹24999"
"Lenovo Thinkpad E Series E15 Gen 2 (Intel Core i5 11th Gen 15.6 Inch)","₹28699"
"Lenovo IdeaPad 5 Pro Series 14IMH9 (Intel Core Ultra 9 14 Inch)","₹97999"
"Lenovo Thinkpad T Series T495 Touchscreen (Amd Ryzen7 Pro 3000U Series 14 Inch)","₹29999"
"Lenovo Thinkpad T Series T470 (Intel Core i5 6th Gen 14 Inch)","₹17299"
"Lenovo ThinkBook Series 14-IIL (Intel Core i3 10th Gen 14 Inch)","₹18799"
"Lenovo IdeaPad 3 Series 3 14ITL6 (Intel Core i3 11th Gen 14 Inch)","₹17599"
"Lenovo Thinkpad T Series T470 (Intel Core i5 7th Gen 14 Inch)","₹15999"
"Lenovo Thinkpad L Series L14 Gen 2a (AMD Ryzen 5000U Series 14 Inch)","₹26499"
"Lenovo Thinkpad T Series T470 W10DG (Intel Core i5 6th Gen 14 Inch)","₹16199"
"Lenovo Thinkpad X Series X13 Gen 1 (Intel Core i5 10th Gen 14 Inch)","₹26999"
"Lenovo Thinkpad E Series E14 Gen 2 (Intel Core i5 11th Gen 14 Inch)","₹30299"
"Lenovo IdeaPad 5 Series ideapad 5 15ial7 (Intel Core i5 12th Gen 15.6 Inch)","₹35399"
"Lenovo Thinkpad X Series X13 Gen 1 (Intel Core i5 10th Gen 13.3 Inch)","₹26999"
"Lenovo Thinkpad X Series thinkpad x390 (Intel Core i5 8th Gen 13.3 Inch)","₹19499"
"Lenovo Thinkpad L Series Thinkpad L14 Gen 2 (Intel Core i7 11th Gen 14 Inch)","₹35199"
"Lenovo Thinkpad L Series L14 Gen 1 Touch Screen (Intel Core i3 10th Gen 14 Inch)","₹21999"
"Lenovo Lenovo V Series V14 G4 IRU 1 (Intel Core i3 13th Gen 14 Inch)","₹25999"
"Lenovo ThinkBook Series 14 G2 ITL UB (Intel Core i5 11th Gen 14 Inch)","₹29499"
"Lenovo Legion Slim 5 Series 16IRH8 (Intel Core i7 13th Gen 16 Inch)","₹59999"
"Lenovo Legion 5 Series 15IMH6 (Intel Core i5 10th Gen 15.6 Inch)","₹27999"
"Lenovo IdeaPad Flex 5 Series 14ALC7 Touch screen (AMD Ryzen5 5000U Series 14 Inch)","₹36699"
"Lenovo Thinkpad L Series L380 Touch Screen (Intel Core i7 8th Gen 13.3 Inch)","₹25399"
"Lenovo Thinkpad T Series T14 Gen 2 (Intel Core i5 11th Gen 14 Inch)","₹32299"
"Lenovo IdeaPad 3 Series 15IAU7 (Intel Core i7 12th Gen 15.6 Inch)","₹51999"
"Lenovo Thinkpad P Series P15 Gen 2i (Intel Core i7 11th Gen 15.6 Inch)","₹37999"
"Lenovo Yoga 7 Series 14IRL8 Touch Screen (Intel Core i5 13th Gen 14 Inch)","₹41699"
"Lenovo Yoga 700 Series 720 13IKB (Intel Core i7 7th Gen 13.3 Inch)","₹19999"
"Lenovo Thinkpad L Series L14 Gen 2 (Intel Core i7 11th Gen 14 Inch)","₹36299"
"Lenovo Thinkpad E Series lenovo e14 gen 2 (Intel Core i7 11th Gen 14 Inch)","₹33999"
"Lenovo IdeaPad Slim 3 Series 15IRH8 (Intel Core i7 13th Gen 15.6 Inch)","₹49999"
"Lenovo ideapad Slim 5 Series 16IRL8 (Intel Core i5 13th Gen 16 Inch)","₹43899"
"Lenovo ideapad Slim 5 Series 14IMH9 (Intel Core Ultra 5 14 Inch)","₹60799"
"Lenovo IdeaPad Slim 3 Series 14IRU8 (Intel Core i3 13th Gen 14 Inch)","₹28299"
"Lenovo IdeaPad 3 Series 15ALC6 ub (AMD Ryzen5 5000U Series 15.6 Inch)","₹25499"
"Lenovo Thinkpad T Series T14s gen 2i (Intel Core i5 11th Gen 14 Inch)","₹28099"
"Lenovo Legion Y500 Series Y540-15IRH-PG0 (Intel Core i7 9th Gen 15.6 Inch)","₹28299"
"Lenovo IdeaPad 1 Series 15ALC7 (AMD Ryzen5 5000U Series 15.6 Inch)","₹30999"
"Lenovo Thinkpad L Series L14 GEN 1 (Intel Core i3 10th Gen 14 Inch)","₹19499"
